rating,tSQD,Wallet,reward
1,3379.62401,0xBA62444F54DDAE7dC8BfF61d5592111060a2cBF6,133000
2,3227.504817,0x455E8c8970bfCc2F3599bA44365221f48636c0c0,133000
3,2652.321743,0xbbC33eDdf8846790fcC98F1594B70f1a9cF59fA6,133000
4,2534.1565,0x062A459f164fbB4aCf8be5e2feD615dD85baA407,133000
5,2048.67854,0x507d41ae555B8dd6f1398A36f88f2cFC44dc13E5,133000
6,1701.390244,0xFf2E1aa0ca7000455E9CA212Ec57FD24BD9cE738,133000
7,1468.060453,0x33B892F56D59CF46B6fEE5bc7BB25BC43026A0F8,133000
8,1460.752708,0xa5943E927632988078373A55202eDA10c6193abA,133000
9,1393.1017,0xfbfd4F6993BC0D3481B9bf61AD0892f817a2e7aC,133000
10,1336.134594,0x9d875d6FD8dF3F091CF0b5C50f196D2515D27637,133000
11,1322.435499,0x57Cf5c9e4e5B4B41003BB77C6bE0E01973d332c3,33250
12,1133.296284,0xCA4CdF79aC21C0548caf74A12478C8B587997A07,33250
13,1123.552203,0x7926ed26f751E17bEdd0207A87cdfC12a8fd9Fb6,33250
14,1105.579355,0x773B1aCC268f8A0C6076752FcC042BaB87597718,33250
15,974.7718355,0x0013fD0CC162e4b6b63D0aEc1d6BDCdcC8498f6F,33250
16,958.0063515,0x74f64024180c4d3F064b8764bED13B7b564e3458,33250
17,955.9821087,0x8c7265922029899EC69755C96C7C83363c197E90,33250
18,952.5407739,0x8046188bE32240f04c2a8F457D40fa9F29B33E6a,33250
19,933.0001673,0xe3A46eD887694dfDF376e091feF43Ab29a32506A,33250
20,916.280448,0xD0060dbfeCfddbf14995288021C91AEA2Ee9abf0,33250
21,909.8033697,0xbd094BcD41A7385281698ea83a24224749DE07bE,33250
22,873.9422181,0xa1Ed8E557e1C5C7EEe4CDE847b389CE9122b33Ce,33250
23,868.0306981,0x16A5612A2619C722FfeB394Eab14292c71869469,33250
24,859.91275,0xbabc7edb3A6A374E487fD83A09Cb66E5D942624b,33250
25,858.0179715,0x7543CD147F0d2de5d23F2edD084928d9Ab6D6c50,33250
26,840.4298928,0x093295b3db16c00426B40ae0Fe3243Ab881DcD12,33250
27,834.0010636,0xcC84032Cb57340044Ce5e0F29019F75C32c632b9,33250
28,832.5158328,0xcD32d2609fa3953E6bf06efdC5841F9f13209063,33250
29,832.0029866,0x5119b10c1D81465dCcD4E66BDb316d802eD33E06,33250
30,828.0613528,0x372042bB33056FC5D878BFE7274d8c7d85Ce9Cc7,33250
31,808.8101222,0x9F2E49fAeAda1e985F035ebc3fc7Ae14Af49888e,33250
32,804.7543346,0x8487D8C249cBF67eD892FD37ea7aA283E11FA330,33250
33,804.7431092,0xed3c3fD027288dCb1F386eBA464d4fabD22Ffb01,33250
34,804.7124417,0x6AC67CCc248D92eC812234f52940C839Ff99fAF0,33250
35,804.5177922,0x5f96CCa158e70f45E34D0930EDC4f7b6ABDD7438,33250
36,804.4089607,0x6a42b1c8EfbB25D40B59731e65a8abcD4f7Ba8E7,33250
37,804.1385288,0x9d5E765edBe203Cd518040AD7296b4c327D5AA96,33250
38,804.0928978,0xA0421df939dBE412815E94b309b2c984F1532D14,33250
39,804.091755,0x6C159C881BE4Afa3194Cd8CB8F3555444916C684,33250
40,804.0337833,0xa768D8703A66F06bA398E785fBA37Cb39AE14e8e,33250
41,803.996337,0x3f3B0068e6c7F2e9Bf07177276F2f1282BbAFB49,33250
42,803.9824434,0x37c660DDcfBBC6c5A79757789Dc8d1CAE466A024,33250
43,803.9753263,0x2C4e35C2C9A016354047B6DbaC682f2f9C6e3fDc,33250
44,803.9688135,0x8D89a5ECF46557CccE2E3CC7a6fB98330713a215,33250
45,803.8885443,0x1ba7C949b058e927e069e7CA0daB2b62Cd119743,33250
46,803.8348665,0x1481C6CDA41D58c1Bca17A7949Fe271A88F8915a,33250
47,803.8127889,0xfA3614A0221eE65065845DD88B06fcA808a82717,33250
48,803.7755252,0xA2372a8926e24e755696dB40e4621ef78F39e2bc,33250
49,803.7632202,0xf6df8a6CA227DEAc07CA3BaaA3BDC59Ebb30880b,33250
